"","Common name","Scientific name","Order","Family"
"72","Rock Pigeon","Columba livia","Columbiformes","Columbidae (Pigeons and Doves)"
"73","Surf Scoter","Melanitta perspicillata","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"74","Tufted Titmouse","Baeolophus bicolor","Passeriformes","Paridae (Tits, Chickadees, and Titmice)"
"75","Wild Turkey","Meleagris gallopavo","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
"76","American Black Duck","Anas rubripes","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"77","American Kestrel","Falco sparverius","Falconiformes","Falconidae (Falcons and Caracaras)"
"78","American Robin","Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)"
"79","Belted Kingfisher","Megaceryle alcyon","Coraciiformes","Alcedinidae (Kingfishers)"
"80","Black Scoter","Melanitta americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"81","Black-backed Woodpecker","Picoides arcticus","Piciformes","Picidae (Woodpeckers)"
"82","Black-legged Kittiwake","Rissa tridactyla","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"83","Bohemian Waxwing","Bombycilla garrulus","Passeriformes","Bombycillidae (Waxwings)"
"84","Bonaparte's Gull","Chroicocephalus philadelphia","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"85","Brown Creeper","Certhia americana","Passeriformes","Certhiidae (Treecreepers)"
"86","Canada Goose","Branta canadensis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"87","Chipping Sparrow","Spizella passerina","Passeriformes","Passerellidae (New World Sparrows)"
"88","Common Merganser","Mergus merganser","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"89","Common Redpoll","Acanthis flammea","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)"
"90","Dark-eyed Junco","Junco hyemalis","Passeriformes","Passerellidae (New World Sparrows)"
"91","Glaucous Gull","Larus hyperboreus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"92","Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae (Mockingbirds and Thrashers)"
"93","Great Blue Heron","Ardea herodias","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)"
"94","Great Horned Owl","Bubo virginianus","Strigiformes","Strigidae (Owls)"
"95","Green-winged Teal","Anas crecca","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"96","Hermit Thrush","Catharus guttatus","Passeriformes","Turdidae (Thrushes and Allies)"
"97","Herring Gull","Larus argentatus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"98","Iceland Gull","Larus glaucoides","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"99","Lesser Scaup","Aythya affinis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"100","Northern Goshawk","Accipiter gentilis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"101","Northern Pintail","Anas acuta","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"102","Northern Shrike","Lanius borealis","Passeriformes","Laniidae (Shrikes)"
"103","Pacific Loon","Gavia pacifica","Gaviiformes","Gaviidae (Loons)"
"104","Pine Grosbeak","Pinicola enucleator","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)"
"105","Pine Siskin","Spinus pinus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)"
"106","Pine Warbler","Setophaga pinus","Passeriformes","Parulidae (New World Warblers)"
"107","Red Crossbill","Loxia curvirostra","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)"
"108","Red-breasted Nuthatch","Sitta canadensis","Passeriformes","Sittidae (Nuthatches)"
"109","Red-headed Woodpecker","Melanerpes erythrocephalus","Piciformes","Picidae (Woodpeckers)"
"110","Red-tailed Hawk","Buteo jamaicensis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"111","Rough-legged Hawk","Buteo lagopus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"112","Ruby-crowned Kinglet","Corthylio calendula","Passeriformes","Regulidae (Kinglets)"
"113","Ruddy Duck","Oxyura jamaicensis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"114","Sharp-shinned Hawk","Accipiter striatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"115","Snow Bunting","Plectrophenax nivalis","Passeriformes","Calcariidae (Longspurs and Snow Buntings)"
"116","Snowy Owl","Bubo scandiacus","Strigiformes","Strigidae (Owls)"
"117","Song Sparrow","Melospiza melodia","Passeriformes","Passerellidae (New World Sparrows)"
"118","Spruce Grouse","Canachites canadensis","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
"119","Swamp Sparrow","Melospiza georgiana","Passeriformes","Passerellidae (New World Sparrows)"
"120","Thick-billed Murre","Uria lomvia","Charadriiformes","Alcidae (Auks, Murres, and Puffins)"
"121","White-breasted Nuthatch","Sitta carolinensis","Passeriformes","Sittidae (Nuthatches)"
"122","White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Passerellidae (New World Sparrows)"
"123","White-winged Crossbill","Loxia leucoptera","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)"
"124","Wilson's Snipe","Gallinago delicata","Charadriiformes","Scolopacidae (Sandpipers and Allies)"
"125","Winter Wren","Troglodytes hiemalis","Passeriformes","Troglodytidae (Wrens)"
"126","Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae (New World Warblers)"
"127","American Pipit","Anthus rubescens","Passeriformes","Motacillidae (Wagtails and Pipits)"
"128","American Three-toed Woodpecker","Picoides dorsalis","Piciformes","Picidae (Woodpeckers)"
"129","Atlantic Puffin","Fratercula arctica","Charadriiformes","Alcidae (Auks, Murres, and Puffins)"
"130","Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae (New World Warblers)"
"131","Black-bellied Plover","Pluvialis squatarola","Charadriiformes","Charadriidae (Plovers and Lapwings)"
"132","Black-throated Sparrow","Amphispiza bilineata","Passeriformes","Passerellidae (New World Sparrows)"
"133","Brant","Branta bernicla","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"134","Broad-winged Hawk","Buteo platypterus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"135","Carolina Wren","Thryothorus ludovicianus","Passeriformes","Troglodytidae (Wrens)"
"136","Common Yellowthroat","Geothlypis trichas","Passeriformes","Parulidae (New World Warblers)"
"137","Dunlin","Calidris alpina","Charadriiformes","Scolopacidae (Sandpipers and Allies)"
"138","Eastern Bluebird","Sialia sialis","Passeriformes","Turdidae (Thrushes and Allies)"
"139","Eastern Meadowlark","Sturnella magna","Passeriformes","Icteridae (Troupials and Allies)"
"140","Eastern Phoebe","Sayornis phoebe","Passeriformes","Tyrannidae (Tyrant Flycatchers)"
"141","Eurasian Wigeon","Mareca penelope","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"142","Gadwall","Mareca strepera","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"143","Green-tailed Towhee","Pipilo chlorurus","Passeriformes","Passerellidae (New World Sparrows)"
"144","Lapland Longspur","Calcarius lapponicus","Passeriformes","Calcariidae (Longspurs and Snow Buntings)"
"145","Lesser Black-backed Gull","Larus fuscus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"146","Merlin","Falco columbarius","Falconiformes","Falconidae (Falcons and Caracaras)"
