"Common name","Scientific name","Order","Family","Resident status"
"Field Sparrow","Spizella pusilla","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Fox Sparrow","Passerella iliaca","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Gadwall","Mareca strepera","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Glaucous Gull","Larus hyperboreus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Golden-crowned Kinglet","Regulus satrapa","Passeriformes","Regulidae (Kinglets)","Resident"
"Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Non-resident"
"Great Black-backed Gull","Larus marinus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Resident"
"Great Blue Heron","Ardea herodias","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Non-resident"
"Great Cormorant","Phalacrocorax carbo","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Non-resident"
"Great Horned Owl","Bubo virginianus","Strigiformes","Strigidae (Owls)","Resident"
"Greater Scaup","Aythya marila","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Green-tailed Towhee","Pipilo chlorurus","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Green-winged Teal","Anas crecca","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Hairy Woodpecker","Dryobates villosus","Piciformes","Picidae (Woodpeckers)","Resident"
"Harlequin Duck","Histrionicus histrionicus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Hermit Thrush","Catharus guttatus","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Herring Gull","Larus argentatus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Resident"
"Hooded Merganser","Lophodytes cucullatus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Horned Grebe","Podiceps auritus","Podicipediformes","Podicipedidae (Grebes)","Non-resident"
"Horned Lark","Eremophila alpestris","Passeriformes","Alaudidae (Larks)","Non-resident"
"House Finch","Haemorhous mexicanus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"House Sparrow","Passer domesticus","Passeriformes","Passeridae (Old World Sparrows)","Resident"
"Iceland Gull","Larus glaucoides","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Killdeer","Charadrius vociferus","Charadriiformes","Charadriidae (Plovers and Lapwings)","Non-resident"
"King Eider","Somateria spectabilis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Lapland Longspur","Calcarius lapponicus","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Non-resident"
"Lesser Black-backed Gull","Larus fuscus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Lesser Scaup","Aythya affinis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Long-tailed Duck","Clangula hyemalis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Mallard","Anas platyrhynchos","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Merlin","Falco columbarius","Falconiformes","Falconidae (Falcons and Caracaras)","Non-resident"
"Mourning Dove","Zenaida macroura","Columbiformes","Columbidae (Pigeons and Doves)","Resident"
"Northern Bobwhite","Colinus virginianus","Galliformes","Odontophoridae (New World Quail)","Non-resident"
"Northern Cardinal","Cardinalis cardinalis","Passeriformes","Cardinalidae (Cardinals and Allies)","Resident"
"Northern Flicker","Colaptes auratus","Piciformes","Picidae (Woodpeckers)","Resident"
