time,surface_temp_c,temp_anomaly_c,climate_avg_c,surface_temp_f,temp_anomaly_f,climate_avg_f
1978-11-01,10.361922,0.10247022667408054,10.25945177332592,50.651459599999995,0.18444640801334497,50.46701319198665
1978-12-01,7.5374303,-0.09029495608481188,7.627725256084812,45.56737454,-0.16253092095266136,45.729905460952665
1979-01-01,4.9838247,0.10584848859046149,4.877976211409539,40.97088446,0.19052727946283068,40.780357180537166
1979-02-01,3.2241538,-0.23365372170978244,3.4578075217097823,37.80347684,-0.4205766990776084,38.22405353907761
1979-03-01,2.806356,-0.44507364470166527,3.2514296447016653,37.0514408,-0.8011325604629975,37.852573360463
1979-04-01,4.0938964,-0.6690270745929505,4.7629234745929505,39.36901352,-1.204248734267311,40.57326225426731
1979-05-01,7.729643,0.04152922916394937,7.6881137708360505,45.9133574,0.07475261249510887,45.83860478750489
1979-06-01,11.980339,0.05606548574639448,11.924273514253606,53.564610200000004,0.10091787434351007,53.46369232565649
1979-07-01,15.236472,-0.6660107907543714,15.902482790754371,59.4256496,-1.1988194233578686,60.62446902335787
1979-08-01,16.634615,-0.8292410019812565,17.463856001981256,61.942307,-1.4926338035662616,63.434940803566256
1979-09-01,15.450161,-0.47663411202137257,15.926795112021372,59.8102898,-0.8579414016384707,60.66823120163847
1979-10-01,12.534065,-0.5483619141222655,13.082426914122266,54.561317,-0.987051445420078,55.54836844542008
1979-11-01,10.503289,0.24383820589091196,10.259450794109089,50.9059202,0.43890877060364153,50.46701142939636
1979-12-01,8.302673,0.6749482961089356,7.627724703891065,46.9448114,1.214906932996084,45.72990446700392
1980-01-01,5.752625,0.8746482704010073,4.877976729598993,42.354725,1.5743668867218132,40.78035811327818
1980-02-01,4.1252794,0.6674717131523714,3.457807686847629,39.42550292,1.2014490836742686,38.22405383632573
1980-03-01,3.6696162,0.41818634471710314,3.251429855282897,38.60530916,0.7527354204907857,37.85257373950921
1980-04-01,4.9741273,0.2112042858354207,4.7629230141645795,40.95342914,0.38016771450375725,40.57326142549624
1980-05-01,7.708809,0.02069574560233928,7.688113254397661,45.8758562,0.0372523420842107,45.838603857915786
1980-06-01,11.3934555,-0.5308168732734567,11.924272373273457,52.5082199,-0.9554703718922222,53.46369027189222
1980-07-01,15.089066,-0.8134161051436032,15.902482105143603,59.1603188,-1.4641489892584858,60.62446778925848
1980-08-01,17.218426,-0.24542873639416599,17.46385473639417,62.9931668,-0.4417717255094987,63.43493852550951
1980-09-01,15.75581,-0.17098533919219172,15.926795339192193,60.360458,-0.3077736105459451,60.668231610545945
1980-10-01,12.583557,-0.49886997058737054,13.082426970587372,54.6504026,-0.8979659470572671,55.54836854705727
1980-11-01,9.234449,-1.0250028150766197,10.25945181507662,48.622008199999996,-1.8450050671379157,50.467013267137915
1980-12-01,7.011085,-0.6166398213272626,7.627724821327262,44.619952999999995,-1.1099516783890726,45.72990467838907
1981-01-01,4.3044715,-0.5735049670311796,4.877976467031179,39.7480487,-1.0323089406561232,40.78035764065612
1981-02-01,3.513432,0.055624292020527315,3.4578077079794727,38.3241776,0.10012372563694916,38.22405387436305
1981-03-01,3.768287,0.5168571710917225,3.2514298289082775,38.7829166,0.9303429079651003,37.8525736920349
1981-04-01,4.7429895,-0.0199337805377369,4.762923280537737,40.537381100000005,-0.035880804967926415,40.57326190496792
1981-05-01,7.7038145,0.015701164604763604,7.6881133353952364,45.866866099999996,0.02826209628857449,45.838604003711424
1981-06-01,11.842048,-0.0822249900457157,11.924272990045715,53.315686400000004,-0.14800498208228827,53.46369138208229
1981-07-01,15.84859,-0.05389117829959989,15.902481178299599,60.527462,-0.0970041209392798,60.62446612093928
1981-08-01,16.58452,-0.8793339328026305,17.463853932802632,61.852136,-1.5828010790447349,63.43493707904474
1981-09-01,15.818891,-0.10790494054005263,15.926795940540053,60.474003800000006,-0.19422889297209472,60.6682326929721
1981-10-01,11.69719,-1.3852374482903658,13.082427448290368,53.054942000000004,-2.4934274069226583,55.54836940692266
1981-11-01,9.79365,-0.4658021093550736,10.259452109355074,49.628569999999996,-0.8384437968391325,50.46701379683913
1981-12-01,7.7244678,0.09674266229314768,7.627725137706853,45.90404204,0.1741367921276658,45.72990524787234
1982-01-01,4.5313983,-0.34657802405334825,4.877976324053348,40.15651694,-0.6238404432960268,40.78035738329603
1982-02-01,3.4649482,0.007140335494051763,3.457807864505948,38.23690676,0.012852603889293174,38.224054156110704
1982-03-01,2.806827,-0.44460262502421827,3.2514296250242185,37.0522886,-0.8002847250435929,37.85257332504359
