"CommonName","Year","Count","CountPartyHour","PartyHours"
"American Black Duck",1971,655,17.7027027027027,37
"American Black Duck",1972,586,10.9532710280374,53.5
"American Black Duck",1973,818,18.1777777777778,45
"American Black Duck",1974,658.5,13.3030303030303,49.5
"American Black Duck",1975,436,11.7837837837838,37
"American Black Duck",1976,206.5,2.78114478114478,74.25
"American Black Duck",1977,266,3.72027972027972,71.5
"American Black Duck",1978,411.5,5.63698630136986,73
"American Black Duck",1979,935,12.7645051194539,73.25
"American Black Duck",1980,326.5,4.41216216216216,74
"American Black Duck",1981,306.5,3.81931464174455,80.25
"American Black Duck",1982,355,5.73505654281099,61.9
"American Black Duck",1983,452.5,6.21993127147766,72.75
"American Black Duck",1984,125,3.04878048780488,41
"American Black Duck",1985,367.5,10.0684931506849,36.5
"American Black Duck",1986,200.5,3.76525821596244,53.25
"American Black Duck",1987,156.5,4.28767123287671,36.5
"American Black Duck",1988,336,7.2258064516129,46.5
"American Black Duck",1989,279.5,9.31666666666667,30
"American Black Duck",1990,380,9.26829268292683,41
"American Black Duck",1991,308.5,6.56382978723404,47
"American Black Duck",1992,363.5,7.27,50
"American Black Duck",1993,518,11.5111111111111,45
"American Black Duck",1994,560.5,17.2461538461538,32.5
"American Black Duck",1995,602,16.9577464788732,35.5
"American Black Duck",1996,724,13.5011655011655,53.625
"American Black Duck",1997,493.5,9.77227722772277,50.5
"American Black Duck",1998,784,19.4179566563467,40.375
"American Black Duck",1999,319,10.331983805668,30.875
"American Black Duck",2000,635,22.0869565217391,28.75
"American Black Duck",2001,504,15.75,32
"American Black Duck",2002,399.5,9.59183673469388,41.65
"American Black Duck",2003,237,5.02917771883289,47.125
"American Black Duck",2004,194.5,6.70689655172414,29
"American Black Duck",2005,307.5,12.1782178217822,25.25
"American Black Duck",2006,213.5,4.13559322033898,51.625
"American Black Duck",2007,321,8.94773519163763,35.875
"American Black Duck",2008,396,13.2,30
"American Black Duck",2009,398,11.1719298245614,35.625
"American Black Duck",2010,192.5,4.17344173441734,46.125
"American Black Duck",2011,176.5,3.84322264561786,45.925
